H-1B Sponsorship Data- Healthcare & Public Health Administration FY'25 (Till 30-Sep-2025)  Prepared by : Srirams_chronicles,,,,,,,,,,,
This data is prepared based on the information in USCIS H1B Data website (Srirams_chronicles is not responsible for any unforeseen isssues with employers sponsoring H-1B),,,,,,,,,,,
Sl No,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
1,2025,CLEVELAND CLINIC,4585,62 - Health Care and Social Assistance,CLEVELAND,OH,44195,147,2,78,1
2,2025,OHIOHEALTH CORP,4942,62 - Health Care and Social Assistance,COLUMBUS,OH,43202,147,3,5,0
3,2025,ROCHESTER GENERAL HOSPITAL,3134,62 - Health Care and Social Assistance,ROCHESTER,NY,14617,119,1,13,0
4,2025,ST JUDE CHILDRENS RESEARCH HOSPITAL,6012,62 - Health Care and Social Assistance,MEMPHIS,TN,38105,114,0,32,0
5,2025,MEMORIAL SLOAN KETTERING CANCER CENTER,4236,62 - Health Care and Social Assistance,NEW YORK,NY,10017,93,3,78,1
6,2025,GENERAL HOSP CORP D B A MASS GENERAL HOSP,7983,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,84,1,29,0
7,2025,BRIGHAM AND WOMENS HOSPITAL,2909,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,82,0,36,0
8,2025,MONTEFIORE MEDICAL CENTER,114,62 - Health Care and Social Assistance,BRONX,NY,10467,77,0,43,0
9,2025,CHILDRENS HOSPITAL CORPORATION,4441,62 - Health Care and Social Assistance,BOSTON,MA,2115,76,0,49,0
10,2025,HENRY FORD HEALTH SYSTEM D B A HENRY FORD HEALTH,7020,62 - Health Care and Social Assistance,DETROIT,MI,48202,68,0,25,0
11,2025,DUBOIS REGIONAL MEDICAL CENTER D B A PENN HIGHLANDS DUBOIS,707,62 - Health Care and Social Assistance,DUBOIS,PA,15801,64,3,1,0
12,2025,OCHSNER CLINIC FOUNDATION,2505,62 - Health Care and Social Assistance,NEW ORLEANS,LA,70112,64,3,37,0
13,2025,UPMC MEDICAL EDUCATION,3026,62 - Health Care and Social Assistance,PITTSBURGH,PA,15219,60,0,42,0
14,2025,RICHMOND CHILDREN CENTER INC DBA RICHMOND COMMUNITY SERVICES,6761,62 - Health Care and Social Assistance,MOUNT KISCO,NY,10549,59,10,0,0
15,2025,MONUMENT HEALTH RAPID CITY HOSPITAL INC,9070,62 - Health Care and Social Assistance,RAPID CITY,SD,57703,51,0,0,0
16,2025,METHODIST LE BONHEUR HEALTHCARE,4711,62 - Health Care and Social Assistance,MEMPHIS,TN,38104,50,0,24,0
17,2025,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1197,62 - Health Care and Social Assistance,NEW YORK,NY,10017,49,1,53,1
18,2025,CEDARS-SINAI MEDICAL CENTER,4600,62 - Health Care and Social Assistance,LOS ANGELES,CA,90048,48,2,23,1
19,2025,THE CHILDRENS HOSPITAL OF PHILADELPHIA,2166,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19146,48,3,34,2
20,2025,NORTHWELL HEALTH,8133,62 - Health Care and Social Assistance,NEW HYDE PARK,NY,11042,46,0,16,0
21,2025,THE UNITY HOSPITAL OF ROCHESTER,1763,62 - Health Care and Social Assistance,ROCHESTER,NY,14617,43,0,13,0
22,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,BRONX,NY,10461,42,0,6,0
23,2025,BETH ISRAEL DEACONESS MEDICAL CENTER INC,3881,62 - Health Care and Social Assistance,BOSTON,MA,2215,41,0,23,0
24,2025,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1197,62 - Health Care and Social Assistance,NEW YORK,NY,10029,41,0,32,0
25,2025,GENESIS HEALTH SYSTEM,8847,62 - Health Care and Social Assistance,DAVENPORT,IA,52803,40,0,8,0
26,2025,THE BROOKDALE HOSPITAL MEDICAL CENTER,1746,62 - Health Care and Social Assistance,BROOKLYN,NY,11212,40,0,7,0
27,2025,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,3936,62 - Health Care and Social Assistance,DAYTON,OH,45434,37,1,16,0
28,2025,SINAI HOSPITAL OF BALTIMORE INC,6540,62 - Health Care and Social Assistance,BALTIMORE,MD,21215,37,1,11,0
29,2025,NYSARC INC ROCKLAND COUNTY CHAPTER DBA THE ARC ROCKLAND,6359,62 - Health Care and Social Assistance,VALLEY COTTAGE,NY,10989,35,4,0,0
30,2025,ADVENTIST HEALTH SYSTEM SUNBELT INC D B A ADVENTHEALTH ORLANDO,4459,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32701,34,1,8,0
31,2025,WEST VIRGINIA UNIVERSITY MEDICAL CORPORATION D B A UNIVERSITY HEALTH,2006,62 - Health Care and Social Assistance,MORGANTOWN,WV,26506,33,0,0,0
32,2025,MASS GENERAL BRIGHAM INCORPORATED,35,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,32,0,32,0
33,2025,INTERNATIONAL QUALITY HOMECARE CORPORATION,7193,62 - Health Care and Social Assistance,ROCHESTER,MN,55901,31,38,0,0
34,2025,MAIMONIDES MEDICAL CENTER,5081,62 - Health Care and Social Assistance,BROOKLYN,NY,11219,31,0,23,2
35,2025,CHILDRENS NATIONAL MEDICAL CENTER,403,62 - Health Care and Social Assistance,WASHINGTON,DC,20010,30,0,15,0
36,2025,FRED HUTCHINSON CANCER CENTER,5159,62 - Health Care and Social Assistance,SEATTLE,WA,98109,30,0,32,1
37,2025,MEDSTAR-GEORGETOWN MEDICAL CENTER INC D B A MEDSTAR GEORGETOWN UNIVER,8584,62 - Health Care and Social Assistance,BALTIMORE,MD,21218,30,0,16,1
38,2025,BAPTIST HEALTH SOUTH FLORIDA INC,7668,62 - Health Care and Social Assistance,MIAMI,FL,33186,29,0,12,0
39,2025,CUMBERLAND COUNTY HOSPITAL SYSTEM,5796,62 - Health Care and Social Assistance,FAYETTEVILLE,NC,28304,28,6,2,0
40,2025,MASSACHUSETTS GENERAL HOSPITAL MGPO,7148,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,28,0,13,0
41,2025,MARSHFIELD CLINIC,2970,62 - Health Care and Social Assistance,MARSHFIELD,WI,54449,26,0,15,0
42,2025,UPSTATE CEREBRAL PALSY INC DBA UPSTATE CARING PARTNERS,3657,62 - Health Care and Social Assistance,UTICA,NY,13502,26,1,0,0
43,2025,VANDERBILT UNIVERSITY MEDICAL CENTER,8741,62 - Health Care and Social Assistance,NASHVILLE,TN,37203,26,2,10,0
44,2025,MOUNT SINAI HOSPITAL,4096,62 - Health Care and Social Assistance,NEW YORK,NY,10017,25,0,12,0
45,2025,SSM HEALTH CARE GROUP D B A SLUCARE PHYSICIAN GROUP,8603,62 - Health Care and Social Assistance,ST LOUIS,MO,63131,25,1,4,0
46,2025,YALE NEW HAVEN HOSPITAL,6652,62 - Health Care and Social Assistance,NEW HAVEN,CT,6510,25,0,12,0
47,2025,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,3936,62 - Health Care and Social Assistance,CINCINNATI,OH,45229,24,0,9,0
48,2025,HARTFORD HEALTHCARE MEDICAL GROUP INC,6939,62 - Health Care and Social Assistance,WETHERSFIELD,CT,6109,24,0,11,0
49,2025,THE METROHEALTH SYSTEM DBA METROHEALTH MEDICAL CENTER,4382,62 - Health Care and Social Assistance,CLEVELAND,OH,44109,24,0,7,0
50,2025,UNIV OF PITTSBURGH PHYSICIANS,9472,62 - Health Care and Social Assistance,PITTSBURGH,PA,15219,24,0,19,1
51,2025,EASTERN MAINE MEDICAL CENTER,1501,62 - Health Care and Social Assistance,BANGOR,ME,4401,23,0,6,0
52,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,ELMHURST,NY,11373,23,0,0,0
53,2025,ST LUKES ROOSEVELT HOSPITAL CENTER,7301,62 - Health Care and Social Assistance,NEW YORK,NY,10017,23,0,5,0
54,2025,UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC,5105,62 - Health Care and Social Assistance,BURLINGTON,VT,5401,23,1,9,0
55,2025,MOUNT SINAI MEDICAL CENTER OF FLORIDA INC,4424,62 - Health Care and Social Assistance,MIAMI BEACH,FL,33140,22,1,9,0
56,2025,PRESBYTERIAN HEALTHCARE SERVICES,5601,62 - Health Care and Social Assistance,ALBUQUERQUE,NM,87113,22,0,11,0
57,2025,VCU HEALTH SYSTEM AUTHORITY,8065,62 - Health Care and Social Assistance,RICHMOND,VA,23219,22,0,36,1
58,2025,INSIGHT GLOBAL LLC,5560,62 - Health Care and Social Assistance,ATLANTA,GA,30346,21,0,0,0
59,2025,MERCY HEALTH - ST VINCENT MEDICAL CENTER LLC,8250,62 - Health Care and Social Assistance,TOLEDO,OH,43608,21,0,1,0
60,2025,H LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE INC,1713,62 - Health Care and Social Assistance,TAMPA,FL,33612,20,1,11,0
61,2025,JOHN H STROGER OF COOK COUNTY,6541,62 - Health Care and Social Assistance,CHICAGO,IL,60612,20,0,6,0
62,2025,NORTHEAST MEDICAL GROUP INC,992,62 - Health Care and Social Assistance,STRATFORD,CT,6614,20,0,12,0
63,2025,UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER,7805,62 - Health Care and Social Assistance,CLEVELAND,OH,44106,20,0,5,0
64,2025,BANCROFT A NEW JERSEY NONPROFIT CORPORATION D B A BANCROFT NEUROHEALT,2770,62 - Health Care and Social Assistance,CHERRY HILL,NJ,8034,19,0,0,0
65,2025,"GANDARA MENTAL HEALTH CENTER, INC.",2756,62 - Health Care and Social Assistance,SPRINGFIELD,MA,1105,19,0,12,0
66,2025,JULIA DYCKMAN ANDRUS MEMORIAL INC,3295,62 - Health Care and Social Assistance,YONKERS,NY,10701,19,0,0,0
67,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,NEW YORK,NY,10029,19,0,3,0
68,2025,SENTARA HEALTH,1901,62 - Health Care and Social Assistance,VIRGINIA BEACH,VA,23464,19,0,8,0
69,2025,THE MARY IMOGENE BASSETT HOSPITAL,6796,62 - Health Care and Social Assistance,COOPERSTOWN,NY,13326,19,1,4,0
70,2025,BOSTON MEDICAL CENTER CORPORATION,4093,62 - Health Care and Social Assistance,BOSTON,MA,2118,18,0,13,0
71,2025,JACKSON PARK HOSPITAL FOUNDATION,8028,62 - Health Care and Social Assistance,CHICAGO,IL,60649,18,0,0,0
72,2025,PHYSICIAN AFFILIATE GROUP OF NEW YORK P C,3487,62 - Health Care and Social Assistance,NEW YORK,NY,10170,18,0,12,1
73,2025,ST BARNABAS HOSPITAL,122,62 - Health Care and Social Assistance,BRONX,NY,10457,18,0,3,1
74,2025,BANNER UNIVERSITY MEDICAL GROUP,8258,62 - Health Care and Social Assistance,PHOENIX,AZ,85012,17,0,9,0
75,2025,CALIFORNIA AIR RESOURCES BOARD,8069,92 - Public Administration,SACRAMENTO,CA,95814,17,0,0,1
76,2025,UPMC PRESBYTERIAN SHADYSIDE,5480,62 - Health Care and Social Assistance,PITTSBURGH,PA,15219,17,0,10,0
77,2025,YUMA REGIONAL MEDICAL CENTER DBA ONVIDA HEALTH MEDICAL GROUP,7596,62 - Health Care and Social Assistance,YUMA,AZ,85364,17,0,3,0
78,2025,IHC HEALTH SERVICES INC DBA INTERMOUNTAIN HEALTH,4057,62 - Health Care and Social Assistance,MURRAY,UT,84123,16,0,4,0
79,2025,LOUISIANA CHILDRENS MEDICAL CENTER,131,62 - Health Care and Social Assistance,NEW ORLEANS,LA,70163,16,0,0,0
80,2025,MERCY CLINIC FORT SMITH COMMUNITIES,8597,62 - Health Care and Social Assistance,FORT SMITH,AR,72903,16,0,1,0
81,2025,ROBERT PACKER HOSPITAL,5463,62 - Health Care and Social Assistance,SAYRE,PA,18840,16,0,1,0
82,2025,RUSH UNIVERSITY MEDICAL CENTER,4823,62 - Health Care and Social Assistance,CHICAGO,IL,60612,16,1,12,0
83,2025,SOUTH SOUND INPATIENT PHYSICIANS PLLC D B A SOUND PHYSICIANS OF WASHI,6629,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,16,0,12,0
84,2025,UNIVERSITY OF CHICAGO MEDICAL CENTER,8183,62 - Health Care and Social Assistance,CHICAGO,IL,60637,16,0,2,0
85,2025,GEISINGER MEDICAL CENTER,5959,62 - Health Care and Social Assistance,DANVILLE,PA,17822,15,2,1,0
86,2025,GEISINGER WYOMING VALLEY MEDICAL CENTER,6150,62 - Health Care and Social Assistance,DANVILLE,PA,17822,15,0,2,0
87,2025,GENERAL HOSP CORP D B A MASS GENERAL HOSP,7983,62 - Health Care and Social Assistance,BOSTON,MA,2114,15,0,1,0
88,2025,LIFESPAN PHYSICIAN GROUP INC D B A BROWN HEALTH MEDICAL GROUP,9801,62 - Health Care and Social Assistance,PROVIDENCE,RI,2903,15,0,15,1
89,2025,NATIONWIDE CHILDRENS HOSPITAL,9441,62 - Health Care and Social Assistance,COLUMBUS,OH,43205,15,0,5,0
90,2025,NORTHWESTERN MEMORIAL HEALTHCARE,2959,62 - Health Care and Social Assistance,CHICAGO,IL,60611,15,0,32,1
91,2025,READING HOSPITAL,2204,62 - Health Care and Social Assistance,WEST READING,PA,19611,15,0,13,0
92,2025,CHILDRENS CRISIS TREATMENT CENTER,5617,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19125,14,1,0,0
93,2025,INTEGRIS HEALTH INC,2764,62 - Health Care and Social Assistance,OKLAHOMA CITY,OK,73134,14,0,8,0
