company_name,source,score
Abiosciences,biopharmguy_bioinformatics,1.0
Accel Diagnostics,biopharmguy_bioinformatics,1.0
Advanced Brain Monitoring,biopharmguy_bioinformatics,1.0
Almaden Genomics,biopharmguy_bioinformatics,1.0
Antigen Discovery,biopharmguy_bioinformatics,1.0
Ariana Pharma,biopharmguy_bioinformatics,1.0
Arzeda,biopharmguy_bioinformatics,1.0
Basepair,biopharmguy_bioinformatics,1.0
Beacon Biosignals,biopharmguy_bioinformatics,1.0
Bio-Rad,biopharmguy_bioinformatics,1.0
BioAge Labs,biopharmguy_bioinformatics,1.0
BioMap,biopharmguy_bioinformatics,1.0
Bionano Genomics,biopharmguy_bioinformatics,1.0
BioTuring,biopharmguy_bioinformatics,1.0
Blackrock Neurotech,biopharmguy_bioinformatics,1.0
Cellworks,biopharmguy_bioinformatics,1.0
Celmatix,biopharmguy_bioinformatics,1.0
Centaur Labs,biopharmguy_bioinformatics,1.0
Certara,biopharmguy_bioinformatics,1.0
ChromaCode,biopharmguy_bioinformatics,1.0
Collaborations Pharmaceuticals,biopharmguy_bioinformatics,1.0
Collaborative Drug Discovery,biopharmguy_bioinformatics,1.0
Cortechs.ai,biopharmguy_bioinformatics,1.0
DNAnexus,biopharmguy_bioinformatics,1.0
DNASTAR,biopharmguy_bioinformatics,1.0
EpiVax,biopharmguy_bioinformatics,1.0
Era7 Bioinformatics,biopharmguy_bioinformatics,1.0
Flagship Biosciences,biopharmguy_bioinformatics,1.0
Form Bio,biopharmguy_bioinformatics,1.0
G3 Therapeutics,biopharmguy_bioinformatics,1.0
Genetesis,biopharmguy_bioinformatics,1.0
Genialis,biopharmguy_bioinformatics,1.0
GenoSpace,biopharmguy_bioinformatics,1.0
Glytec,biopharmguy_bioinformatics,1.0
Igenbio,biopharmguy_bioinformatics,1.0
Illumina,biopharmguy_bioinformatics,1.0
Incogen,biopharmguy_bioinformatics,1.0
iRhythm Technologies,biopharmguy_bioinformatics,1.0
LatchBio,biopharmguy_bioinformatics,1.0
Medivis,biopharmguy_bioinformatics,1.0
Micron Solutions,biopharmguy_bioinformatics,1.0
Mimetics,biopharmguy_bioinformatics,1.0
Nexilico,biopharmguy_bioinformatics,1.0
Omics Edge,biopharmguy_bioinformatics,1.0
Optra Health,biopharmguy_bioinformatics,1.0
Panorama Medicine,biopharmguy_bioinformatics,1.0
Protein Metrics,biopharmguy_bioinformatics,1.0
